azim,zen,trrot,aoi,truetrack,backtrack
176.3422007,129.3307392,-84.86649272,90,-84.86649272,0
159.1960432,126.4974386,-84.86649272,76.78737741,-84.86649272,0
144.4719085,120.1955276,-84.86649272,63.07569658,-84.86649272,0
132.6583642,111.3795905,-84.86649272,49.66506449,-84.86649272,0
123.3026323,100.893783,-84.86649272,36.9989329,-84.86649272,0
115.7343307,88.93106385,-46.96634066,48.73922469,-84.86649272,37.90015206
109.3644736,76.98346855,-76.98651273,19.36647784,-76.98651273,0
103.7143359,64.28361334,-64.08760962,13.31993613,-64.08760962,0
98.33960752,51.25919425,-51.18159864,7.902724645,-51.18159864,0
92.6491176,38.04639421,-38.07725682,3.395611195,-38.07725682,0
85.26760625,24.77355108,-24.68345075,0.053179344,-24.68345075,0
69.42334841,11.7789997,-11.02404101,1.916661835,-11.02404101,0
328.9835649,5.39042809,2.776989868,2.381510415,2.776989868,0
281.9546607,16.91501705,16.54193395,1.308938022,16.54193395,0
271.4163167,30.10967303,30.1071354,1.226605001,30.1071354,0
265.0025064,43.37961609,43.38472806,5.058967997,43.38472806,0
259.5363954,56.53398344,56.39663429,9.958239563,56.39663429,0
254.1102886,69.4519737,27.23335522,44.35109486,65.13350728,37.90015206
248.2269521,81.96391568,27.23335522,57.84286068,65.13350728,37.90015206
241.4417633,94.10625438,65.13350728,40.80529629,65.13350728,0
233.2359621,105.3044463,65.13350728,54.50231939,65.13350728,0
222.9725483,115.2164999,65.13350728,68.30741466,65.13350728,0
210.0046839,123.1507943,65.13350728,82.05777629,65.13350728,0
194.1481947,128.180075,65.13350728,90,65.13350728,0
176.4750694,129.4241814,-84.86649272,90,-84.86649272,0
159.2854347,126.6164673,-84.86649272,76.89039056,-84.86649272,0
144.5188843,120.3286504,-84.86649272,63.16748912,-84.86649272,0
132.6734273,111.5182117,-84.86649272,49.74116035,-84.86649272,0
123.2955906,101.0331,-84.86649272,37.04947529,-84.86649272,0
115.7112482,89.05299296,-46.96634066,48.83741644,-84.86649272,37.90015206
109.327976,77.11796048,-77.13039598,19.3360809,-77.13039598,0
103.6641895,64.4158774,-64.22640112,13.28396519,-64.22640112,0
98.27254587,51.38907656,-51.31566664,7.858294026,-51.31566664,0
92.55724909,38.17465276,-38.20638842,3.340405591,-38.20638842,0
85.13449129,24.90234462,-24.80653525,0.014381687,-24.80653525,0
69.25441714,11.91522945,-11.13930049,1.997235259,-11.13930049,0
330.4495641,5.417745286,2.671453555,2.474728461,2.671453555,0
282.3757635,16.84500544,16.44746863,1.413503799,16.44746863,0
271.6506922,30.03153393,30.0240327,1.112613131,30.0240327,0
265.1753268,43.3029878,43.31208693,4.937705944,43.31208693,0
259.6825635,56.46237822,56.33251734,9.831773523,56.33251734,0
254.245051,69.38792122,27.23335522,44.26013359,65.13350728,37.90015206
248.359232,81.9104319,27.23335522,57.75972418,65.13350728,37.90015206
241.5780292,94.06544212,65.13350728,40.68243737,65.13350728,0
233.3812958,105.2813468,65.13350728,54.38975507,65.13350728,0
223.1297719,115.2169515,65.13350728,68.20447869,65.13350728,0
210.1707685,123.1816291,65.13350728,81.96486606,65.13350728,0
194.3087507,128.2464998,65.13350728,90,65.13350728,0
176.6060974,129.5248986,-84.86649272,90,-84.86649272,0
159.3704322,126.7420627,-84.86649272,76.99175738,-84.86649272,0
144.5599003,120.4672762,-84.86649272,63.25687534,-84.86649272,0
132.6818339,111.6612345,-84.86649272,49.81397594,-84.86649272,0
123.2816128,101.1758467,-84.86649272,37.09562874,-84.86649272,0
115.6810203,89.17631711,-46.96634066,48.93370958,-84.86649272,37.90015206
109.2839817,77.25440806,-77.27657742,19.29829774,-77.27657742,0
103.6058818,64.54961025,-64.3671579,13.24056495,-64.3671579,0
98.19610209,51.52005951,-51.45122257,7.806361939,-51.45122257,0
92.45370081,38.30381119,-38.33640715,3.277628378,-38.33640715,0
84.98480652,25.0321536,-24.92979247,0.089548011,-24.92979247,0
69.05425529,12.0536688,-11.25393046,2.08538008,-11.25393046,0
331.9231487,5.455831286,2.567389234,2.575397229,2.567389234,0
282.822948,16.77972326,16.3552981,1.525313442,16.3552981,0
271.8998235,29.95718239,29.94397523,0.991648734,29.94397523,0
265.3585376,43.2300582,43.24314053,4.809770001,43.24314053,0
259.8369436,56.39464741,56.27264204,9.698916601,56.27264204,0
254.386776,69.32805178,27.23335522,44.17191654,65.13350728,37.90015206
248.4976843,81.86149605,27.23335522,57.67967091,65.13350728,37.90015206
241.7198947,94.02974736,65.13350728,40.55960726,65.13350728,0
233.531683,105.2639579,65.13350728,54.27819861,65.13350728,0
223.2912957,115.2237653,65.13350728,68.10329855,65.13350728,0
210.3398616,123.219446,65.13350728,81.87437817,65.13350728,0
194.4701723,128.3202896,65.13350728,90,65.13350728,0
176.7351738,129.6328494,-84.86649272,90,-84.86649272,0
159.4509204,126.8741566,-84.86649272,77.09137486,-84.86649272,0
144.5948557,120.6113123,-84.86649272,63.34377038,-84.86649272,0
132.6835106,111.8085497,-84.86649272,49.88345123,-84.86649272,0
123.2606536,101.3219057,-84.86649272,37.13736841,-84.86649272,0
115.6436272,89.30084693,-46.96634066,49.02795169,-84.86649272,37.90015206
109.2324943,77.39269393,-77.42490813,19.25310977,-77.42490813,0
103.539441,64.68470078,-64.50974249,13.18972397,-64.50974249,0
98.11033761,51.652041,-51.58813707,7.746926288,-51.58813707,0
92.33859326,38.43378064,-38.4671898,3.207288364,-38.4671898,0
84.81882745,25.16290927,-25.05310424,0.172298876,-25.05310424,0
68.82396375,12.19426795,-11.36781728,2.181063037,-11.36781728,0
333.3952015,5.504795814,2.464905945,2.683470873,2.464905945,0
283.2958818,16.71941764,16.26552621,1.644308998,16.26552621,0
272.1635804,29.88679355,29.86706073,0.863780812,29.86706073,0
265.5520361,43.16096993,43.17797986,4.675238642,43.17797986,0
259.9994413,56.330912,56.21709261,9.559754825,56.21709261,0
254.5353716,69.27246824,27.23335522,44.08659185,65.13350728,37.90015206
248.6422163,81.81719425,27.23335522,57.60282811,65.13350728,37.90015206
241.867265,93.99923701,65.13350728,40.43696057,65.13350728,0
233.6870267,105.2523266,65.13350728,54.1677902,65.13350728,0
223.4570216,115.2369662,65.13350728,68.0039991,65.13350728,0
210.5118674,123.2642468,65.13350728,81.78642166,65.13350728,0
194.6323625,128.4014235,65.13350728,90,65.13350728,0
176.8621924,129.7479893,-84.86649272,90,-84.86649272,0
159.5267879,127.0126784,-84.86649272,77.18914576,-84.86649272,0
144.6236542,120.760665,-84.86649272,63.42809597,-84.86649272,0
132.6783889,111.9600483,-84.86649272,49.94953347,-84.86649272,0
123.2326736,101.4711611,-84.86649272,37.17467706,-84.86649272,0
115.5990548,89.42640662,-46.96634066,49.12000666,-84.86649272,37.90015206
109.1735231,77.53270458,-77.57524201,19.20050457,-77.57524201,0
103.4649013,64.82104281,-64.65402071,13.13143677,-64.65402071,0
98.01532011,51.784925,-51.72628455,7.679990657,-51.72628455,0
92.21205381,38.56447969,-38.59861749,3.129399653,-38.59861749,0
84.63683731,25.29455217,-25.17635724,0.262608713,-25.17635724,0
68.56464648,12.33699004,-11.48085264,2.284246612,-11.48085264,0
334.8568801,5.564695011,2.364106964,2.79889991,2.364106964,0
283.7941598,16.66433462,16.17825059,1.770429529,16.17825059,0
272.4418125,29.82053942,29.79338037,0.729080698,29.79338037,0
265.7557096,43.09586101,43.11668888,4.534192038,43.11668888,0
260.1699567,56.27128736,56.16594566,9.414375341,56.16594566,0
254.6907427,69.2212671,27.23335522,44.00430375,65.13350728,37.90015206
248.7927342,81.77760568,27.23335522,57.52931767,65.13350728,37.90015206
242.0200455,93.97397087,65.13350728,40.31465061,65.13350728,0
233.8472313,105.2464923,65.13350728,54.05866645,65.13350728,0
223.6268556,115.2565718,65.13350728,67.90670015,65.13350728,0
210.6866953,123.3160273,65.13350728,81.70109939,65.13350728,0
